Surgery,Rat,logAUC,AUC
C,1,8.49,4865.86607325375
C,2,8.2,3640.950307332352
C,3,9.08,8777.966027027225
C,4,8.07,3197.101829077355
P,1,10.24,28001.12592623153
P,2,7.72,2252.959580568725
P,3,9.34,11384.408240181616
P,4,8.5,4914.768840299134
S,1,11.31,81633.90850160981
S,2,12.69,324486.75576180586
S,3,11.37,86681.86748434913
S,4,10.82,50011.087008521754
